state_id,cell_id,dataset_id,initialization_id,stage,action_id,block_id,left_parameter,right_parameter,left_layer,right_layer,left_delta,right_delta,left_rank,right_rank,u0_train,u0_heldout,taylor_train,taylor_heldout,output_taylor_train,output_taylor_heldout,projected_within_utility_variance,horizon,continuation_count,mean_q,sd_q,mean_delta_q,sd_delta_q,mean_noop_loss,mean_action_loss
0,0,0,0,600,0,1,87,85,hidden1-hidden2,hidden1-hidden2,-0.020000000,0.020000000,0,0,1.865799228350e-4,8.373092859983e-4,2.066165668045e-4,8.422006903857e-4,null,null,4.000793792943e-6,0,8,8.373260498047e-4,0.000000000000e0,8.373260498047e-4,0.000000000000e0,1.230607390404e0,1.229770064354e0
0,0,0,0,600,1,1,87,85,hidden1-hidden2,hidden1-hidden2,-0.010000000,0.010000000,1,1,9.536494811376e-5,4.201407233874e-4,1.033082834023e-4,4.211003451928e-4,null,null,1.000333620752e-6,0,8,4.200935363770e-4,0.000000000000e0,4.200935363770e-4,0.000000000000e0,1.230607390404e0,1.230187296867e0
0,0,0,0,600,2,2,88,84,hidden1-hidden2,hidden1-hidden2,-0.020000000,-0.010000000,0,1,-1.034879436096e-4,9.055808186531e-5,-1.016295470736e-4,8.880470844967e-5,null,null,5.145915405874e-7,0,8,9.036064147949e-5,0.000000000000e0,9.036064147949e-5,0.000000000000e0,1.230607390404e0,1.230517029762e0
0,0,0,0,600,3,2,88,84,hidden1-hidden2,hidden1-hidden2,-0.010000000,-0.020000000,1,0,-6.788534422716e-5,-1.707983513673e-5,-6.185060276861e-5,-3.848970889446e-5,null,null,1.061079581889e-6,0,8,-1.704692840576e-5,0.000000000000e0,-1.704692840576e-5,0.000000000000e0,1.230607390404e0,1.230624437332e0
0,0,0,0,600,4,3,89,83,hidden1-hidden2,hidden1-hidden2,0.020000000,-0.010000000,0,1,2.555238703887e-4,-2.096345027288e-5,2.568717669670e-4,-1.937378590355e-5,null,null,1.535022906738e-6,0,8,-2.074241638184e-5,0.000000000000e0,-2.074241638184e-5,0.000000000000e0,1.230607390404e0,1.230628132820e0
0,0,0,0,600,5,3,89,83,hidden1-hidden2,hidden1-hidden2,0.010000000,-0.020000000,1,0,1.056386778752e-4,4.110857844353e-6,1.062492769440e-4,7.170849282071e-6,null,null,7.812981476183e-7,0,8,4.291534423828e-6,0.000000000000e0,4.291534423828e-6,0.000000000000e0,1.230607390404e0,1.230603098869e0
0,0,0,0,600,6,4,90,82,hidden1-hidden2,hidden1-hidden2,-0.020000000,-0.010000000,0,1,1.320727169514e-4,-1.442190259695e-4,1.205201486224e-4,-1.836369458677e-4,null,null,2.847023361998e-6,0,8,-1.442432403564e-4,0.000000000000e0,-1.442432403564e-4,0.000000000000e0,1.230607390404e0,1.230751633644e0
0,0,0,0,600,7,4,90,82,hidden1-hidden2,hidden1-hidden2,-0.010000000,-0.020000000,1,0,1.952263216178e-4,-5.617241064707e-5,2.219313634365e-4,-1.279520761652e-4,null,null,4.346525305362e-6,0,8,-5.578994750977e-5,0.000000000000e0,-5.578994750977e-5,0.000000000000e0,1.230607390404e0,1.230663180351e0
0,0,0,0,600,8,5,91,81,hidden1-hidden2,hidden1-hidden2,0.020000000,0.010000000,0,1,2.655771871408e-4,2.046277125676e-4,2.755568964196e-4,1.994079959786e-4,null,null,1.731743343984e-6,0,8,2.050399780273e-4,0.000000000000e0,2.050399780273e-4,0.000000000000e0,1.230607390404e0,1.230402350426e0
0,0,0,0,600,9,5,91,81,hidden1-hidden2,hidden1-hidden2,0.010000000,0.020000000,1,0,4.538986831903e-4,2.371656397978e-4,4.568182163487e-4,2.399484662116e-4,null,null,3.562878938273e-6,0,8,2.372264862061e-4,0.000000000000e0,2.372264862061e-4,0.000000000000e0,1.230607390404e0,1.230370163918e0
0,0,0,0,600,10,6,92,80,hidden1-hidden2,hidden1-hidden2,0.020000000,-0.020000000,0,0,-6.428236762683e-5,9.899462262789e-5,-4.790818650235e-5,7.428209054675e-5,null,null,5.534235707853e-7,0,8,9.882450103760e-5,0.000000000000e0,9.882450103760e-5,0.000000000000e0,1.230607390404e0,1.230508565903e0
0,0,0,0,600,11,6,92,80,hidden1-hidden2,hidden1-hidden2,0.010000000,-0.010000000,1,1,-2.814580996831e-5,3.693252801895e-5,-2.395409325118e-5,3.714104527338e-5,null,null,1.353091296230e-7,0,8,3.695487976074e-5,0.000000000000e0,3.695487976074e-5,0.000000000000e0,1.230607390404e0,1.230570435524e0
